Shape_Leng,OBJECTID,Shape_Le_1,ES_NO,URL,LUPDATE,NAME,ADDRESS,CLASS,CATEGORY,x,y,GRADES,ZIPCODE,TYPE
11086.873389799999131,1,11086.873055000000022,4,,20111212,Steuart Hill Academic Academy,30 S Gilmor Street,PK - 5,E,-76.642675999999994,39.287367000000003,PK - 5,21223,Traditional
9911.145310269999754,2,9911.14574446000006,5,,20111212,Langston Hughes Elementary,5011 Arbutus Avenue,PK - 5,E,-76.680115999999998,39.342545999999999,PK - 5,21215,Traditional
12950.215139500000078,3,12950.215361700000358,7,,20111212,Cecil Elementary,2000 Cecil Avenue,PK - 5,E,-76.606229999999996,39.313000000000002,PK - 5,21218,Traditional
29047.035727900001802,4,29047.033702900000208,8,,20111212,City Springs Elementary/Middle,100 S Caroline Street,PK - 8,EM,-76.597048000000001,39.289631999999997,PK - 8,21231,Charter
11869.826098600000478,15,11869.825691300000472,27,,20111212,Commodore John Rodgers Elementary/Middle,100 N Chester Street,PK - 8,EM,-76.588148000000004,39.294159000000001,PK - 8,21231,Traditional - Restart
10605.11632869999994,5,10605.116144199999326,10,,20111212,James McHenry Elementary/Middle,31 S Schroeder Street,PK - 8,EM,-76.632859999999994,39.287149999999997,PK - 8,21223,Traditional
11914.555554599999596,6,11914.555768800000806,11,,20111212,Eutaw-Marshburn Elementary,1624 Eutaw Place,PK - 5,E,-76.630470000000003,39.305925999999999,PK - 5,21217,Traditional
32052.115670999999566,7,32052.115819800001191,12,,20111212,Lakeland Elementary/Middle,2921 Stranden Road,PK - 8,EM,-76.645346000000004,39.254012000000003,PK - 8,21230,Traditional
8419.111966380000013,8,8419.112076870000237,13,,20111212,Tench Tilghman Elementary/Middle,600 N Patterson Park Avenue,PK - 8,EM,-76.585087000000001,39.298206999999998,PK - 8,21205,Traditional
15791.838565500000186,9,15791.83870559999923,16,,20111212,Johnston Square Elementary,1101 Valley Street,PK - 5,E,-76.604376999999999,39.303916000000001,PK - 5,21202,Traditional
14620.231750700000703,10,14620.231894299999112,21,,20111212,Hilton Elementary,3301 Carlisle Avenue,PK - 5,E,-76.673861000000002,39.319394000000003,PK - 5,21216,Traditional
40704.488727399999334,11,40704.4869589000009,22,,20111212,George Washington Elementary,800 Scott Street,PK - 5,E,-76.629153000000002,39.281354,PK - 5,21230,Traditional
8555.899008930000491,12,8555.898796359999324,23,,20111212,Wolfe Street Academy,245 S Wolfe Street,PK - 5,E,-76.589894999999999,39.287793999999998,PK - 5,21231,Charter
28717.656967800001439,13,28717.657580600000074,24,,20111212,Westside Elementary,2235 N Fulton Avenue,PK - 5,E,-76.644192000000004,39.314570000000003,PK - 5,21217,Traditional
