Shape_Leng,OBJECTID,Shape_Le_1,ES_NO,URL,LUPDATE,NAME,ADDRESS,CLASS,CATEGORY,x,y,GRADES,ZIPCODE,TYPE
7965.115102040000238,14,7965.115076439999939,25,,20111212,Dr. Rayner Browne Elementary/Middle,1000 N Montford Avenue,PK - 8,EM,-76.58399,39.303350000000002,PK - 8,21213,Traditional
7428.019977670000117,16,7428.01997055999982,28,,20111212,William Pinderhughes Elementary/Middle,701 Gold Street,PK - 8,EM,-76.640687999999997,39.306545,PK - 8,21217,Traditional
11435.089723499999309,17,11435.089082399999825,29,,20111212,Matthew A. Henson Elementary,1600 N Payson Street,PK - 5,E,-76.650383000000005,39.306516000000002,PK - 5,21217,Traditional
12971.039809100000639,18,12971.039310000000114,31,,20111212,Coldstream Park Elementary/Middle,1400 Exeter Hall Avenue,PK - 8,EM,-76.602179000000007,39.321545,PK - 8,21218,Traditional
9460.107908680000037,19,9460.107873599999948,34,,20111212,Charles Carroll Barrister Elementary,1327 Washington Boulevard,PK - 5,E,-76.636140999999995,39.280076999999999,PK - 5,21230,Traditional
10868.796764599999733,20,10868.796301799999128,35,,20111212,Harlem Park Elementary/Middle,1401 W Lafayette Avenue,PK - 8,EM,-76.641501000000005,39.298279999999998,PK - 8,21217,Traditional
19799.241592200000014,21,19799.242396599998756,37,,20111212,Harford Heights Elementary,1919 N Broadway,PK - 5,E,-76.594179999999994,39.312849999999997,PK - 5,21213,PK - 5
17460.782185899999604,22,17460.782072800000606,39,,20111212,Dallas F. Nicholas Sr. Elementary,201 E 21st Street,PK - 5,E,-76.613896999999994,39.312899000000002,PK - 5,21218,Traditional
14603.82990670000072,26,14603.829431399999521,50,,20111212,Stadium School,1300 Gorsuch Avenue,6 - 8,M,-76.599808999999993,39.325378000000001,6 - 8,21218,Traditional
19271.091168499999185,23,19271.091160399999353,44,,20111212,Montebello Elementary/Middle,2040 E 32nd Street,PK - 8,EM,-76.585452000000004,39.327328000000001,PK - 8,21218,Traditional
33553.712872800002515,24,33553.711077100000693,45,,20111212,Federal Hill Preparatory,1040 William Street,PK - 5,E,-76.611232999999999,39.277149999999999,PK - 5,21230,Traditional
15518.788124799999423,30,15518.788744600000427,58,,20111212,Dr. Nathan A. Pitts-Ashburton Elementary/Middle,3935 Hilton Road,PK - 8,EM,-76.667985999999999,39.331147000000001,PK - 8,21215,Traditional
74668.052010100000189,25,74668.051537099992856,47,,20111212,Hampstead Hill Academy,500 S Linwood Avenue,PK - 8,EM,-76.576172,39.286254,PK - 8,21224,Charter
14603.82990670000072,26,14603.829431399999521,50,,20111212,Abbottston Elementary,1300 Gorsuch Avenue,PK - 5,E,-76.599808999999993,39.325378000000001,PK - 5,21218,Traditional
17885.196190800001204,27,17885.196692800000164,51,,20111212,Waverly Elementary/Middle,3400 Ellerslie Avenue,PK - 8,EM,-76.604412999999994,39.330553999999999,PK - 8,21218,Traditional
22041.222619600001053,28,22041.22255210000003,53,,20111212,Margaret Brent Elementary/Middle,100 E 26th Street,PK - 8,EM,-76.614929000000004,39.319766999999999,PK - 8,21218,Traditional
23691.273186599999462,29,23691.273523600000772,55,,20111212,Hampden,3608 Chestnut Avenue,PK - 8,EM,-76.629454999999993,39.332124999999998,PK - 8,21211,Traditional
24786.188527599999361,31,24786.18964490000144,60,,20111212,Gwynns Falls Elementary,2700 Gwynns Falls Parkway,PK - 5,E,-76.663382999999996,39.314722000000003,PK - 5,21216,Traditional
7836.048456339999575,32,7836.048952819999613,61,,20111212,John Eager Howard Elementary,2011 Linden Avenue,PK - 5,E,-76.632052000000002,39.311967000000003,PK - 5,21217,Traditional
19164.688093799999479,33,19164.687664400000358,62,,20111212,Edgecombe Circle Elementary/Middle,2835 Virginia Avenue,PK - 8,EM,-76.662700000000001,39.345077000000003,PK - 8,21215,Traditional
10964.858262600000671,34,10964.857727599999635,63,,20111212,Rosemont Elementary/Middle,2777 Presstman Street,PK - 8,EM,-76.66292,39.304760000000002,PK - 8,21216,Charter
13652.312946199999715,46,13652.313445499999943,89,,20111212,Rognel Heights Elementary/Middle,4300 Sidehill Road,PK - 8,EM,-76.692825999999997,39.298470000000002,PK - 8,21229,Traditional
19122.003786299999774,35,19122.003686000000016,64,,20111212,Liberty Elementary,3901 Maine Avenue,PK - 5,E,-76.683626000000004,39.326390000000004,PK - 5,21207,Traditional
19992.756993499999226,40,19992.757139800000004,81,,20111212,North Bend Elementary/Middle,181 North Bend Road,PK - 8,EM,-76.705257000000003,39.282913999999998,PK - 8,21229,Traditional
11765.500692199999321,41,11765.500443299999461,83,,20111212,William Paca Elementary,200 N Lakewood Avenue,PK - 5,E,-76.579942000000003,39.295271999999997,PK - 5,21224,Traditional
44060.299080600001616,42,44060.303694900001574,84,,20111212,Thomas Johnson Elementary/Middle,100 E Heath Street,PK - 8,EM,-76.610782,39.270646999999997,PK - 8,21230,Traditional
21861.612936099998478,36,21861.61353230000168,66,,20111212,Mount Royal Elementary/Middle,121 Mc Mechen Street,K - 8,EM,-76.624127000000001,39.309233999999996,K - 8,21217,Traditional
13228.820788000000903,43,13228.820763399999123,85,,20111212,Fort Worthington Elementary,2701 E Oliver Street,1 - 5,E,-76.578906000000003,39.308095999999999,1 - 5,21213,Traditional
20401.170448699998815,37,20401.17081429999962,67,,20111212,Edgewood Elementary,1900 Edgewood Street,PK - 5,E,-76.675912999999994,39.309114000000001,PK - 5,21216,Traditional
23633.947132000001147,38,23633.947050300001138,73,,20111212,Sarah M. Roach Elementary,3434 Old Frederick Road,PK - 5,E,-76.674909999999997,39.282505,PK - 5,21229,Traditional
48017.23614429999725,39,48017.240039099997375,76,,20111212,Francis Scott Key Elementary/Middle,1425 E Fort Avenue,PK - 8,EM,-76.593971999999994,39.267623,PK - 8,21230,Traditional
16466.266159099999641,44,16466.266348100001778,87,,20111212,Windsor Hills Elementary/Middle,4001 Alto Road,PK - 8,EM,-76.683107000000007,39.316867000000002,PK - 8,21216,Traditional
11978.279201299999841,45,11978.278954699999304,88,,20111212,Lyndhurst Elementary,621 Wildwood Parkway,PK - 5,E,-76.683153000000004,39.295582000000003,PK - 5,21229,Traditional
14371.452705699999569,47,14371.452336099999229,95,,20111212,Franklin Square Elementary/Middle,1400 W Lexington Street,PK - 8,EM,-76.640658000000002,39.290765,PK - 8,21223,Traditional
8833.650241280000046,48,8833.650141410000288,97,,20111212,Collington Square Elementary/Middle,1409 N Collington Avenue,PK - 8,EM,-76.586663999999999,39.307791999999999,PK - 8,21213,Traditional
10300.310112099999969,49,10300.310354400000506,98,,20111212,Samuel F. B. Morse Elementary,424 S Pulaski Street,PK - 5,E,-76.650604000000001,39.282079000000003,PK - 5,21223,Traditional
30875.286327999998321,50,30875.286206699998729,105,,20111212,Moravia Park Elementary,6201 Frankford Avenue,PK - 5,E,-76.541540999999995,39.315716000000002,PK - 5,21206,Traditional
14846.354638700000578,51,14846.354466200000388,107,,20111212,Gilmor Elementary,1311 N Gilmor Street,PK - 5,E,-76.642560000000003,39.304589999999997,PK - 5,21217,Traditional
24249.378045800000109,52,24249.377834800001438,122,,20111212,The Historic Samuel Coleridge-Taylor Elementary,507 W Preston Street,PK - 5,E,-76.626306999999997,39.299035000000003,PK - 5,21201,Traditional
13054.531194499999401,53,13054.530557699999918,124,,20111212,Bay-Brook Elementary/Middle,4301 10th Street,PK - 8,EM,-76.598742000000001,39.225299,PK - 8,21225,Traditional
14726.928006899999673,54,14726.92822999999953,125,,20111212,Furman Templeton Preparatory Academy,1200 Pennsylvania Avenue,PK - 5,E,-76.630538999999999,39.299483000000002,PK - 5,21217,Charter
14927.679211900000155,57,14927.680119500000728,144,,20111212,James Mosher Elementary,2400 W Mosher Street,PK - 5,E,-76.655741000000006,39.299523000000001,PK - 5,21216,Traditional
17565.078145200001018,55,17565.077890699998534,134,,20111212,Walter P. Carter Elementary/Middle,820 E 43rd Street,PK - 8,EM,-76.604016999999999,39.342478999999997,PK - 8,21212,Traditional
10241.22953570000027,56,10241.229547700000694,142,,20111212,Robert W. Coleman Elementary,2400 Windsor Avenue,PK - 5,E,-76.655238999999995,39.312341000000004,PK - 5,21216,Traditional
10208.557829699999274,64,10208.558564700000716,75,,20111212,Calverton,1100 Whitmore Avenue,PK - 8,EM,-76.658201000000005,39.300868999999999,PK - 8,21216,Traditional - Restart
14390.918849699999555,58,14390.919114399999671,145,,20111212,Alexander Hamilton Elementary,800 Poplar Grove Street,PK - 5,E,-76.665986000000004,39.298003999999999,PK - 5,21216,Traditional
14578.65937169999961,59,14578.65952020000077,150,,20111212,Mary Ann Winterling Elementary at Bentalou,220 N Bentalou Street,PK - 5,E,-76.653056000000007,39.291704000000003,PK - 5,21223,Traditional
10905.217812200000481,60,10905.217526500000531,159,,20111212,Cherry Hill Elementary/Middle,801 Bridgeview Road,PK - 8,EM,-76.623582999999996,39.248407999999998,PK - 8,21225,Traditional - Restart
23820.273154999998951,61,23820.272656199998892,160,,20111212,Dr. Carter Godwin Woodson,2501 Seabury Road,PK - 8,EM,-76.623078000000007,39.252116999999998,PK - 8,21225,Traditional
29258.325918999998976,63,29258.326446399998531,201,,20111212,Dickey Hill Elementary/Middle,5025 Dickey Hill Road,PK - 8,EM,-76.703844000000004,39.311757999999998,PK - 8,21207,Traditional
41225.345546999997168,65,41225.345164600003045,203,,20111212,Maree G. Farring Elementary/Middle,300 Pontiac Avenue,PK - 8,EM,-76.606897000000004,39.237087000000002,PK - 8,21225,Traditional
21557.083262500000274,66,21557.083092299999407,204,,20111212,Mary E. Rodman Elementary,3510 W Mulberry Street,PK - 5,E,-76.676441999999994,39.291826999999998,PK - 5,21229,Traditional
25148.920495099999243,67,25148.92079300000114,205,,20111212,Woodhome Elementary/Middle,7300 Moyer Avenue,PK - 8,EM,-76.540459999999996,39.36759,PK - 8,21234,Traditional
66554.199579799998901,69,66554.199402900005225,207,,20111212,Curtis Bay Elementary/Middle,4301 W Bay Avenue,PK - 8,EM,-76.592349999999996,39.226289999999999,PK - 8,21225,Traditional
22003.562891199999285,68,22003.562955400000646,206,,20111212,Furley Elementary,4633 Furley Avenue,K - 5,E,-76.552351000000002,39.328916,K - 5,21206,Traditional
21783.364972300001682,70,21783.364962600000581,210,,20111212,Hazelwood Elementary/Middle,4517 Hazelwood Avenue,K - 8,EM,-76.538730999999999,39.339004000000003,K - 8,21206,Traditional
18366.135556000001088,74,18366.135662799999409,214,,20111212,Guilford Elementary/Middle,4520 York Road,PK - 8,EM,-76.610369000000006,39.344665999999997,PK - 8,21212,Traditional
29695.727208000000246,71,29695.726324399998703,211,,20111212,Gardenville Elementary,5300 Belair Road,K - 5,E,-76.552128999999994,39.339016999999998,K - 5,21206,Traditional
26834.131012699999701,72,26834.13121239999964,212,,20111212,Garrett Heights Elementary/Middle,2800 Ailsa Avenue,PK - 8,EM,-76.569775000000007,39.348950000000002,PK - 8,21214,Traditional
27377.955633300000045,73,27377.948857499999576,213,,20111212,Govans Elementary,5801 York Road,PK - 5,E,-76.608630000000005,39.360819999999997,PK - 5,21212,Traditional
15311.012828499999159,75,15311.013410999999905,215,,20111212,Highlandtown Elementary/Middle #215,3223 E Pratt Street,PK - 8,EM,-76.570611,39.290123999999999,PK - 8,21224,Traditional
9811.932113909999316,76,9811.931768689999444,217,,20111212,Belmont Elementary,1406 N Ellamont Street,PK - 5,E,-76.670614999999998,39.303694,PK - 5,21216,Traditional
29195.189506399998209,81,29195.189055399998324,224,,20111212,Grove Park Elementary/Middle,5545 Kennison Avenue,PK - 8,EM,-76.699242999999996,39.342553000000002,PK - 8,21215,Traditional
26790.501334600001428,82,26790.501272400000744,225,,20111212,Westport Academy,2401 Nevada Street,PK - 8,EM,-76.638132999999996,39.262408000000001,PK - 8,21230,Traditional
27567.607618300000468,77,27567.607701400000224,219,,20111212,Yorkwood Elementary,5931 Yorkwood Road,PK - 5,E,-76.581686000000005,39.362963000000001,PK - 5,21239,Traditional
24695.004890899999737,78,24695.004994800001441,220,,20111212,Morrell Park Elementary/Middle,2601 Tolley Street,PK - 8,EM,-76.650268999999994,39.263643000000002,PK - 8,21230,Traditional
52358.554779099998996,79,52358.554235900002823,221,,20111212,The Mount Washington School,1801 Sulgrave Avenue,K - 8,EM,-76.655050000000003,39.366055000000003,K - 8,21209,Traditional
17365.94764270000087,80,17365.947853999998188,223,,20111212,Pimlico Elementary/Middle,4849 Pimlico Road,PK - 8,EM,-76.667709000000002,39.347394999999999,PK - 8,21215,Traditional
27988.706359700001485,83,27988.706409900001745,228,,20111212,John Ruhrah Elementary/Middle,701 Rappolla Street,PK - 8,EM,-76.552775999999994,39.284204000000003,PK - 8,21224,Traditional
30455.226593899998988,84,30455.22684179999851,229,,20111212,Holabird Elementary/Middle,1500 Imla Street,PK - 8,EM,-76.538629,39.276429999999998,PK - 8,21224,Traditional
20103.425212499998452,85,20103.425018300000374,231,,20111212,Brehms Lane Elementary,3536 Brehms Lane,PK - 5,E,-76.566193999999996,39.320943,PK - 5,21213,Traditional
27638.74913799999922,86,27638.749399299998913,232,,20111212,Thomas Jefferson Elementary/Middle,605 Dryden Drive,PK - 8,EM,-76.697519,39.295869000000003,PK - 8,21229,Traditional
58574.787250300003507,87,58574.787721200002125,233,,20111212,Roland Park Elementary/Middle,5207 Roland Avenue,PK - 8,EM,-76.633706000000004,39.356530999999997,PK - 8,21210,Traditional
19702.710920699999406,88,19702.710443200001464,234,,20111212,Arlington Elementary/Middle,3705 W Rogers Avenue,PK - 8,EM,-76.684436000000005,39.351108000000004,PK - 8,21215,Traditional
24507.642990100001043,89,24507.643373099999735,235,,20111212,Glenmount Elementary/Middle,6211 Walther Avenue,PK - 8,EM,-76.541409000000002,39.351306000000001,PK - 8,21206,Traditional
16078.094612700000653,101,16078.09460399999989,251,,20111212,Callaway Elementary,3701 Fernhill Avenue,PK - 5,E,-76.678970000000007,39.336210000000001,PK - 5,21215,Traditional
24406.95846900000106,90,24406.958870400001615,236,,20111212,Hamilton Elementary/Middle,6101 Old Harford Road,PK - 8,EM,-76.557472000000004,39.360174999999998,PK - 8,21214,Traditional
16889.675762499999109,91,16889.676000100000238,237,,20111212,Highlandtown Elementary/Middle #237,231 S. Eaton Street,PK - 8,EM,-76.565061999999998,39.289552,PK - 8,21224,Traditional
30092.086409700001241,107,30092.086944099999528,246,,20111212,Beechfield Elementary/Middle,301 S Beechfield Avenue,PK - 8,EM,-76.693899999999999,39.281030000000001,PK - 8,21229,Traditional
20573.756971300001169,108,20573.756405799998902,54,,20111212,Barclay Elementary/Middle,2900 Barclay Street,PK - 8,EM,-76.611806999999999,39.323419999999999,PK - 8,21218,Traditional
27715.58958690000145,92,27715.590164599998388,240,,20111212,Graceland Park/O'Donnell Heights Elementary/Middle,6300 O'Donnell Street,PK - 8,EM,-76.540552000000005,39.282314,PK - 8,21224,Traditional
17680.325476300000446,93,17680.325331299998652,241,,20111212,Fallstaff Elementary/Middle,3801 Fallstaff Road,PK - 8,EM,-76.705258000000001,39.361640000000001,PK - 8,21215,Traditional
45743.65406709999661,94,45743.646793200001412,242,,20111212,Northwood Elementary,5201 Loch Raven Boulevard,PK - 5,E,-76.588749000000007,39.353062999999999,PK - 5,21239,Traditional
34527.344549699999334,95,34527.344060499999614,243,,20111212,Armistead Gardens Elementary/Middle,5001 E Eager Street,PK - 8,EM,-76.552875999999998,39.305320999999999,PK - 8,21205,Traditional
22805.144628800000646,96,22805.144581500000641,245,,20111212,Leith Walk Elementary/Middle,1235 Sherwood Avenue,PK - 8,EM,-76.591403999999997,39.365741999999997,PK - 6,21239,Traditional
37103.486690300000191,97,37103.48615769999742,247,,20111212,Cross Country Elementary/Middle,6100 Cross Country Boulevard,PK - 8,EM,-76.687985999999995,39.362848999999997,PK - 8,21215,Traditional
32338.815750199999457,98,32338.815822100001242,248,,20111212,Sinclair Lane Elementary,3880 Sinclair Lane,PK - 5,E,-76.560640000000006,39.314667,PK - 5,21213,Traditional
21278.160798299999442,99,21278.160716200000024,249,,20111212,Medfield Heights Elementary,4300 Buchanan Avenue,PK - 5,E,-76.642082000000002,39.340950999999997,PK - 5,21211,Traditional
15168.166019000000233,100,15168.165789599999698,250,,20111212,"Dr. Bernard Harris, Sr. Elementary",1400 N Caroline Street,PK - 5,E,-76.598117000000002,39.306753,PK - 5,21213,Traditional
22104.339648900000611,102,22104.339637799999764,254,,20111212,"Dr. Martin Luther King, Jr. Elementary/Middle",3750 Greenspring Avenue,PK - 8,EM,-76.657284000000004,39.333610999999998,PK - 8,21211,Traditional
24267.530926399998862,103,24267.530511799999658,256,,20111212,Calvin M. Rodwell Elementary,3501 Hillsdale Road,PK - 5,E,-76.694467000000003,39.330537,PK - 5,21207,Traditional
17690.441092799999751,104,17690.44185429999925,260,,20111212,Frederick Elementary,2501 Frederick Avenue,PK - 5,E,-76.656999999999996,39.282713999999999,PK - 5,21223,Traditional
6062.857773890000317,105,6062.858006499999647,261,,20111212,Lockerman Bundy Elementary,301 N Pulaski Street,PK - 5,E,-76.649615999999995,39.292830000000002,PK - 5,21223,Traditional
28628.886568400001124,106,28628.886714699998265,226,,20111212,Violetville Elementary/Middle,1207 Pine Heights Avenue,PK - 8,EM,-76.673494000000005,39.267277999999997,PK - 8,21229,Traditional
