Latitude,Longitude
586287.85818769,1409361.42801186
586287.693161771,1409360.98870827
586286.936929688,1409359.13142852
586286.126235768,1409357.29547419
586285.258455351,1409355.48740694
586284.330635682,1409353.71477269
586283.3401521,1409351.98347694
586282.283395693,1409350.29253544
586281.171849355,1409348.63341802
586280.020276859,1409346.99693836
586278.844426185,1409345.37423819
586277.659389183,1409343.75645928
586276.480913848,1409342.13539952
586275.324092016,1409340.50187261
586273.034726515,1409338.21021053
586271.707301348,1409336.71415052
586270.388078272,1409335.21054462
586269.07476069,1409333.70136127
586267.764395848,1409332.1892252
586266.455015272,1409330.67610486
586265.143666193,1409329.16495302
586263.828380108,1409327.65741012
586262.506204277,1409326.15610078
586261.175170183,1409324.66364969
586259.832325101,1409323.18202536
586258.475372434,1409321.71385244
586257.1020156,1409320.26142752
586255.716847777,1409318.81950128
586254.328071013,1409317.38118394
586252.935685351,1409315.94614744
586251.539362684,1409314.51406369
586250.139759183,1409313.08558886
586248.736874849,1409311.66006677
586247.330709681,1409310.23749745
586245.92126368,1409308.81788085
586244.508864939,1409307.40121703
586243.09318535,1409305.98750594
586241.67520918,1409304.57674761
586240.25395219,1409303.16861394
586238.830398604,1409301.76310495
586237.404220358,1409300.36022061
586235.975745514,1409298.95963286
586234.544646025,1409297.56199786
586233.111578017,1409296.16633137
586231.676541522,1409294.77328953
586230.23920843,1409293.38221619
586228.800234944,1409291.99376753
586227.359621018,1409290.60695927
586225.928193435,1409289.20013794
586224.508248776,1409287.76772611
586223.095193848,1409286.31858203
586221.684107438,1409284.86189203
586220.270068273,1409283.40618628
586218.848155096,1409281.96065111
586217.41344668,1409280.53447285
586215.960693687,1409279.1361817
586214.485631019,1409277.7756201
586212.983009353,1409276.46099019
586211.447907433,1409275.20147827
586209.875732109,1409274.00627069
586208.260905936,1409272.88455378
586206.59916386,1409271.84420152
586204.881319523,1409270.87569952
586203.1099976,1409269.97117378
586201.292087853,1409269.1279996
586199.433823854,1409268.34388044
586197.541767269,1409267.61619161
586195.622479767,1409266.94329269
586193.682523027,1409266.32190286
586191.728458688,1409265.75038169
586189.766520351,1409265.22610453
586187.803269684,1409264.7464467
586185.845596433,1409264.30943969
586183.899406105,1409263.91278695
586181.956168517,1409263.5906091
586179.936487526,1409263.54008427
586177.861360431,1409263.71495269
586175.770157263,1409264.02663186
586173.70126377,1409264.38555503
586171.694706097,1409264.70215544
586169.789198101,1409264.88719444
586168.061183184,1409264.76055427
586168.466694191,1409262.60668719
586170.306585521,1409262.14048077
586172.19437702,1409261.67985177
586174.12285085,1409261.23168994
586176.084789187,1409260.80288503
586178.073630348,1409260.39967062
586180.082484603,1409260.02893645
586182.103806019,1409259.69757228
586184.131361023,1409259.41213977
586186.157603681,1409259.1795287
586188.175972357,1409259.00630069
586190.179249182,1409258.89934553
586192.162184849,1409258.86555295
586194.142167777,1409258.91476545
586196.126415774,1409259.0417337
586198.113288432,1409259.23825561
586200.101145357,1409259.49514486
586202.088674188,1409259.8032151
586204.073906437,1409260.15393619
586206.055529773,1409260.53844985
586208.031903774,1409260.94789785
586210.001716107,1409261.37309386
586211.96332635,1409261.80517961
586213.915094107,1409262.23595302
586215.93608743,1409262.87505935
586218.041726276,1409263.78877144
586220.16081652,1409264.81665653
586222.221836016,1409265.79860994
586224.1532626,1409266.57419895
586225.883574098,1409266.98331887
586227.340920269,1409266.86520886
586228.494461268,1409266.04434437
586229.399643183,1409264.52335003
586230.064340025,1409262.50530945
586230.495769605,1409260.1969151
586230.699837431,1409257.80453144
586230.683761358,1409255.53550711
586230.46197702,1409253.55650844
586230.126675859,1409251.60441262
586229.696886688,1409249.60966595
586229.167360187,1409247.60048361
586228.531534687,1409245.60639311
586227.784488931,1409243.65593769
586226.919661269,1409241.77831678
586225.932130441,1409240.00272977
586224.815334767,1409238.35771994
586223.56402494,1409236.8724867
586222.206088021,1409235.50601961
586220.780565932,1409234.18942119
586219.293692276,1409232.91908252
586217.751372516,1409231.69073853
586216.159840271,1409230.50045219
586214.525657192,1409229.34428653
586212.854400679,1409228.21830453
586211.152304351,1409227.1185692
586209.425601766,1409226.04114352
586207.680526525,1409224.98176244
586205.923312187,1409223.93648894
586204.159864277,1409222.90138602
586202.39674443,1409221.87284477
586200.639530107,1409220.84660012
586198.894782931,1409219.81838694
586197.168408439,1409218.78459635
586195.456141517,1409217.75375852
586193.704832688,1409216.7898497
586191.915794268,1409215.88696437
586190.100181103,1409215.0277141
586188.268819943,1409214.19438244
586186.433521762,1409213.36859669
586184.605441436,1409212.53296845
586182.795733765,1409211.66945311
586181.015225515,1409210.76066227
586179.275727689,1409209.78822328
586177.588395104,1409208.73474769
586175.954868183,1409207.59728278
586174.33872968,1409206.43258694
586172.73440218,1409205.24984652
586171.140901431,1409204.05070195
586169.557243183,1409202.83646552
586167.982771263,1409201.60844961
586166.416501433,1409200.36763844
586164.857121348,1409199.11600052
586163.304302931,1409197.85484819
586161.75673385,1409196.58516569
586160.213429853,1409195.30859344
586158.674062848,1409194.02677186
586157.13699244,1409192.74068519
586155.601890519,1409191.45164578
586154.067444772,1409190.16129403
586152.532999024,1409188.87094228
586150.997569025,1409187.58223094
586149.460170522,1409186.2958162
586147.920147359,1409185.0139946
586146.37618719,1409183.73742236
586144.827305764,1409182.46773987
586143.273175016,1409181.20625944
586141.712482601,1409179.95462152
586140.146212772,1409178.71118569
586138.576334015,1409177.47168685
586137.003830597,1409176.23612502
586135.428702518,1409175.00351594
586133.851934016,1409173.77320345
586132.273525104,1409172.54453136
586130.694460019,1409171.3171716
586129.114410684,1409170.09046802
586127.534689441,1409168.86376444
586125.955624357,1409167.63640469
586124.37721543,1409166.40806068
586122.800446942,1409165.17774819
586121.225318849,1409163.94513911
586119.652815431,1409162.7092492
586118.083264768,1409161.47007844
586116.516994938,1409160.22631453
586114.954662099,1409158.97795744
586113.392985433,1409157.72763185
586111.818841606,1409156.4868207
586110.233214855,1409155.25486778
586108.638401777,1409154.03046077
586107.036370859,1409152.81097503
586105.430402935,1409151.5947701
586103.82181035,1409150.3802056
586102.213545859,1409149.16465686
586100.607906014,1409147.94648345
586099.006859347,1409146.72404495
586097.413358599,1409145.49471669
586095.829372272,1409144.25718635
586094.257525027,1409143.00915736
586092.699785352,1409141.74898927
586091.158449858,1409140.47438553
